# lineBreakTable from WebKit-7625.1.29.11.27 (2756e8be58521b10c8e8bff8da1f13d97f2eae27): unsafeLookup(before, after) for before, after in U+0021..U+00FF.
# Consulted only with LineBreakRules::Normal, when both characters are <= U+00FF (BreakablePositions.h:181-187).
# before	count	afters where a break is allowed before 'after'
85	223	21 22 23 24 25 26 27 28 29 2A 2B 2C 2D 2E 2F 30 31 32 33 34 35 36 37 38 39 3A 3B 3C 3D 3E 3F 40 41 42 43 44 45 46 47 48 49 4A 4B 4C 4D 4E 4F 50 51 52 53 54 55 56 57 58 59 5A 5B 5C 5D 5E 5F 60 61 62 63 64 65 66 67 68 69 6A 6B 6C 6D 6E 6F 70 71 72 73 74 75 76 77 78 79 7A 7B 7C 7D 7E 7F 80 81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 93 94 95 96 97 98 99 9A 9B 9C 9D 9E 9F A0 A1 A2 A3 A4 A5 A6 A7 A8 A9 AA AB AC AD AE AF B0 B1 B2 B3 B4 B5 B6 B7 B8 B9 BA BB BC BD BE BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
86	1	B4
87	1	B4
88	1	B4
89	1	B4
8A	1	B4
8B	1	B4
8C	1	B4
8D	1	B4
8E	1	B4
8F	1	B4
90	1	B4
91	1	B4
92	1	B4
93	1	B4
94	1	B4
95	1	B4
96	1	B4
97	1	B4
98	1	B4
99	1	B4
9A	1	B4
9B	1	B4
9C	1	B4
9D	1	B4
9E	1	B4
9F	1	B4
A0	0	
A1	0	
A2	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
A3	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
A4	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
A5	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
A6	1	B4
A7	1	B4
A8	1	B4
A9	1	B4
AA	1	B4
AB	0	
AC	1	B4
