line|en-US|loose	14	0 9 13 17
line|en-US|normal	0	0 4 10
line|en-US|normal	1	0 1 2 7 8 9
line|en-US|normal	2	0 1 2 3 4
line|en-US|normal	3	0 4 8 11
line|en-US|normal	4	0 1 4 5 6
line|en-US|normal	5	0 1 2 3 5 6 7
line|en-US|normal	6	0 4 10 13 21
line|en-US|normal	7	0 4 5 6 8 16 20 22 29
line|en-US|normal	8	0 2 3 6 7 8 10 11 12
line|en-US|normal	9	0 1 2 5 6 7 10 11
line|en-US|normal	10	0 4 8 11
line|en-US|normal	11	0 9
line|en-US|normal	12	0 10
line|en-US|normal	13	0 5 9 12 15 18 22 25
line|en-US|normal	14	0 9 13 17
line|en-US|strict	0	0 4 10
line|en-US|strict	1	0 1 2 7 8 9
line|en-US|strict	2	0 1 3 4
line|en-US|strict	3	0 4 8 11
line|en-US|strict	4	0 1 4 5 6
line|en-US|strict	5	0 1 2 3 5 6 7
line|en-US|strict	6	0 4 10 13 21
line|en-US|strict	7	0 4 5 6 8 16 20 22 29
line|en-US|strict	8	0 2 3 6 7 8 12
line|en-US|strict	9	0 2 5 7 10 11
line|en-US|strict	10	0 4 8 11
line|en-US|strict	11	0 9
line|en-US|strict	12	0 10
line|en-US|strict	13	0 5 9 12 15 18 22 25
line|en-US|strict	14	0 9 13 17
line|en_US_POSIX|default	0	0 4 10
line|en_US_POSIX|default	1	0 1 2 7 8 9
line|en_US_POSIX|default	2	0 1 3 4
line|en_US_POSIX|default	3	0 4 8 11
line|en_US_POSIX|default	4	0 1 4 5 6
line|en_US_POSIX|default	5	0 1 2 3 5 6 7
line|en_US_POSIX|default	6	0 4 10 13 21
line|en_US_POSIX|default	7	0 4 5 6 8 16 20 22 29
line|en_US_POSIX|default	8	0 2 3 6 7 8 12
line|en_US_POSIX|default	9	0 2 5 7 10 11
line|en_US_POSIX|default	10	0 4 8 11
line|en_US_POSIX|default	11	0 9
line|en_US_POSIX|default	12	0 10
line|en_US_POSIX|default	13	0 5 9 12 15 18 22 25
line|en_US_POSIX|default	14	0 9 13 17
line|en_US_POSIX|loose	0	0 4 10
line|en_US_POSIX|loose	1	0 1 2 7 8 9
line|en_US_POSIX|loose	2	0 1 2 3 4
line|en_US_POSIX|loose	3	0 4 8 11
line|en_US_POSIX|loose	4	0 1 4 5 6
line|en_US_POSIX|loose	5	0 1 2 3 5 6 7
line|en_US_POSIX|loose	6	0 4 10 13 21
line|en_US_POSIX|loose	7	0 4 5 6 8 16 20 22 29
line|en_US_POSIX|loose	8	0 2 3 6 7 8 10 11 12
