# libicucore u_getVersion=78.1 uloc_getDefault=en_US_POSIX; 36 BMP Line_Break=QU characters
# locale	behavior	quote	left	right	text(hex)	ubrk_open	openBinaryRules
# overrides (empty): U+201C->OP U+201D->CL U+2018->OP
(empty)	default	U+2018	IS ,	ID 中	002C 2018 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	H2 가	002C 2018 AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	ID あ	002C 2018 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	CL 、	002C 2018 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	GL NBSP	002C 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	B2 —	002C 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	IS ,	SA ก	002C 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	sot/eot	4E2D 2018	0 1 2	0 2	emulation-ok
(empty)	default	U+2018	ID 中	AL a	4E2D 2018 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	NU 1	4E2D 2018 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	HY -	4E2D 2018 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	SP	4E2D 2018 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	OP (	4E2D 2018 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	CP )	4E2D 2018 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	EX !	4E2D 2018 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	IS ,	4E2D 2018 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	GL NBSP	4E2D 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	B2 —	4E2D 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID 中	SA ก	4E2D 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	sot/eot	AC00 2018	0 1 2	0 2	emulation-ok
(empty)	default	U+2018	H2 가	AL a	AC00 2018 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	NU 1	AC00 2018 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	HY -	AC00 2018 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	SP	AC00 2018 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	OP (	AC00 2018 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	CP )	AC00 2018 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	EX !	AC00 2018 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	IS ,	AC00 2018 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	GL NBSP	AC00 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	B2 —	AC00 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	H2 가	SA ก	AC00 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	sot/eot	3042 2018	0 1 2	0 2	emulation-ok
(empty)	default	U+2018	ID あ	AL a	3042 2018 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	NU 1	3042 2018 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	HY -	3042 2018 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	SP	3042 2018 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	OP (	3042 2018 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	CP )	3042 2018 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	EX !	3042 2018 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	IS ,	3042 2018 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	GL NBSP	3042 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	B2 —	3042 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	ID あ	SA ก	3042 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	sot/eot	3001 2018	0 1 2	0 2	emulation-ok
(empty)	default	U+2018	CL 、	AL a	3001 2018 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	NU 1	3001 2018 0031	0 1 3	0 3	emulation-ok
