language	serif	sans-serif	cursive	fantasy	monospace
gu-IN	Kohinoor Gujarati	Kohinoor Gujarati	Kohinoor Gujarati	Kohinoor Gujarati	Menlo
guz	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
guz-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
gv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
gv-IM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ha	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ha-GH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ha-NE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ha-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
haw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
haw-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
he	.Times Fallback	Arial Hebrew	Arial Hebrew	Arial Hebrew	Courier New
he-IL	.Times Fallback	Arial Hebrew	Arial Hebrew	Arial Hebrew	Courier New
hi	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Menlo
hi-IN	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Menlo
hi-Latn	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Menlo
hi-Latn-IN	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Kohinoor Devanagari	Menlo
hmn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hmn-CN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hr-BA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hr-HR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hsb	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hsb-DE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hu-HU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hy	Noto Sans Armenian	Noto Sans Armenian	Noto Sans Armenian	Noto Sans Armenian	Menlo
hy-AM	Noto Sans Armenian	Noto Sans Armenian	Noto Sans Armenian	Noto Sans Armenian	Menlo
ia	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ia-001	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
id	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
id-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ie	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ie-EE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ig	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ig-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ii	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ii-CN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
inh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
io	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
io-001	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
is	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
is-IS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
it	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
it-CH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
it-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
it-SM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
it-VA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
iu	Euphemia UCAS	Euphemia UCAS	Euphemia UCAS	Euphemia UCAS	Menlo
iu-CA	Euphemia UCAS	Euphemia UCAS	Euphemia UCAS	Euphemia UCAS	Menlo
ja	Hiragino Mincho ProN	Hiragino Sans	Hiragino Mincho ProN	Hiragino Mincho ProN	Menlo
ja-JP	Hiragino Mincho ProN	Hiragino Sans	Hiragino Mincho ProN	Hiragino Mincho ProN	Menlo
jbo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jbo-001	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
