language	serif	sans-serif	cursive	fantasy	monospace
nus-SS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nv-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ny	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ny-MW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nyn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nyn-UG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
oc	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
oc-ES	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
oc-FR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
om	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
om-ET	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
om-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
or	Noto Sans Oriya	Noto Sans Oriya	Noto Sans Oriya	Noto Sans Oriya	Menlo
or-IN	Noto Sans Oriya	Noto Sans Oriya	Noto Sans Oriya	Noto Sans Oriya	Menlo
os	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
os-GE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
os-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
osa	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
osa-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pa	Mukta Mahee	Mukta Mahee	Mukta Mahee	Mukta Mahee	Menlo
pa-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
pa-Arab-PK	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
pa-Aran-PK	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Courier New
pa-Guru	Mukta Mahee	Mukta Mahee	Mukta Mahee	Mukta Mahee	Menlo
pa-Guru-IN	Mukta Mahee	Mukta Mahee	Mukta Mahee	Mukta Mahee	Menlo
pcm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pcm-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pl-PL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pqm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pqm-CA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
prg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
prg-PL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ps	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ps-AF	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ps-PK	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
pt	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-AO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-BR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
