# label=Homebrew icu4c@78, no LANG u_getVersion=78.3 unicode=17.0 cldr=48.0 uloc_getDefault=en_US_POSIX currentTextBreakLocaleID=zh-Hans-US (CFLocaleCopyPreferredLanguages()[0])
type	requestedLocale	behavior	openedLocale	fellBackToEmptyLocale	openStatus	actualLocale	validLocale	size	sha256	file	roundTrip	webkitSite
line	en-US	strict	en-US@lb=strict	0	U_USING_DEFAULT_WARNING	root	en_US	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en_US_POSIX	default	en_US_POSIX	0	U_USING_DEFAULT_WARNING	root	en_US_POSIX	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en_US_POSIX	loose	en_US_POSIX@lb=loose	0	U_USING_DEFAULT_WARNING	root	en_US_POSIX	75432	3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9	brk/3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en_US_POSIX	normal	en_US_POSIX@lb=normal	0	U_USING_DEFAULT_WARNING	root	en_US_POSIX	73168	e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf	brk/e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en_US_POSIX	strict	en_US_POSIX@lb=strict	0	U_USING_DEFAULT_WARNING	root	en_US_POSIX	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	fr	default	fr	0	U_USING_DEFAULT_WARNING	root	fr	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	fr	loose	fr@lb=loose	0	U_USING_DEFAULT_WARNING	root	fr	75432	3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9	brk/3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	fr	normal	fr@lb=normal	0	U_USING_DEFAULT_WARNING	root	fr	73168	e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf	brk/e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	fr	strict	fr@lb=strict	0	U_USING_DEFAULT_WARNING	root	fr	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	de	default	de	0	U_USING_DEFAULT_WARNING	root	de	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	de	loose	de@lb=loose	0	U_USING_DEFAULT_WARNING	root	de	75432	3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9	brk/3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	de	normal	de@lb=normal	0	U_USING_DEFAULT_WARNING	root	de	73168	e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf	brk/e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	de	strict	de@lb=strict	0	U_USING_DEFAULT_WARNING	root	de	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	es	default	es	0	U_USING_DEFAULT_WARNING	root	es	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	es	loose	es@lb=loose	0	U_USING_DEFAULT_WARNING	root	es	75432	3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9	brk/3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	es	normal	es@lb=normal	0	U_USING_DEFAULT_WARNING	root	es	73168	e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf	brk/e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	es	strict	es@lb=strict	0	U_USING_DEFAULT_WARNING	root	es	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	it	default	it	0	U_USING_DEFAULT_WARNING	root	it	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	it	loose	it@lb=loose	0	U_USING_DEFAULT_WARNING	root	it	75432	3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9	brk/3082ba71a14b908647417468307c32883f0ea4d3d5947b6a1e4840f9a053d8b9.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	it	normal	it@lb=normal	0	U_USING_DEFAULT_WARNING	root	it	73168	e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf	brk/e0a181cf912e4caa81d80e053301b3b3ee7c1252339160ccae2bb9a659e24fbf.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	it	strict	it@lb=strict	0	U_USING_DEFAULT_WARNING	root	it	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	pt	default	pt	0	U_USING_DEFAULT_WARNING	root	pt	73280	33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b	brk/33394b0828a31413031e54db9f2a8accf776fe9529f2ecb7902974a795e1937b.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
