# label=Homebrew icu4c@76, no LANG u_getVersion=76.1 unicode=16.0 cldr=46.0 uloc_getDefault=en_US_POSIX currentTextBreakLocaleID=zh-Hans-US (CFLocaleCopyPreferredLanguages()[0])
type	requestedLocale	behavior	openedLocale	fellBackToEmptyLocale	openStatus	actualLocale	validLocale	size	sha256	file	roundTrip	webkitSite
line	(empty)	default	(empty)	0	U_ZERO_ERROR	root	root	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	(empty)	loose	(empty)	0	U_ZERO_ERROR	root	root	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	(empty)	normal	(empty)	0	U_ZERO_ERROR	root	root	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	(empty)	strict	(empty)	0	U_ZERO_ERROR	root	root	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en	default	en	0	U_USING_DEFAULT_WARNING	root	en	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en	loose	en@lb=loose	0	U_USING_DEFAULT_WARNING	root	en	75088	6f88e7a5d68d35de2c1d0610d95bca1187b1f1d4c1df73c65b808dc08a5b9bbb	brk/6f88e7a5d68d35de2c1d0610d95bca1187b1f1d4c1df73c65b808dc08a5b9bbb.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en	normal	en@lb=normal	0	U_USING_DEFAULT_WARNING	root	en	72832	6b53770150498b968f48907db8ec339b6426382e55bc592473e629cd37d106db	brk/6b53770150498b968f48907db8ec339b6426382e55bc592473e629cd37d106db.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en	strict	en@lb=strict	0	U_USING_DEFAULT_WARNING	root	en	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en-US	default	en-US	0	U_USING_DEFAULT_WARNING	root	en_US	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en-US	loose	en-US@lb=loose	0	U_USING_DEFAULT_WARNING	root	en_US	75088	6f88e7a5d68d35de2c1d0610d95bca1187b1f1d4c1df73c65b808dc08a5b9bbb	brk/6f88e7a5d68d35de2c1d0610d95bca1187b1f1d4c1df73c65b808dc08a5b9bbb.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en-US	normal	en-US@lb=normal	0	U_USING_DEFAULT_WARNING	root	en_US	72832	6b53770150498b968f48907db8ec339b6426382e55bc592473e629cd37d106db	brk/6b53770150498b968f48907db8ec339b6426382e55bc592473e629cd37d106db.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en-US	strict	en-US@lb=strict	0	U_USING_DEFAULT_WARNING	root	en_US	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
line	en_US_POSIX	default	en_US_POSIX	0	U_USING_DEFAULT_WARNING	root	en_US_POSIX	72944	ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632	brk/ead45134fb4351e5c158409a69f46b7810276805e156b633e54a52c73f546632.brk	round-trip-ok	TextBreakIteratorICU.h:56-67 via CachedLineBreakIteratorFactory (InlineItemsBuilder.cpp:950, TextUtil.cpp:384, InlineFormattingUtils.cpp:350, RenderText.cpp:1350)
